[INFO] Démarrage — group=position-group consumer=consumer-1 topic=position
[INFO] Instance consumer-1 déjà existante dans le groupe position-group
[OK] Abonné au topic 'position' — attente du rebalance initial...
[OK] Prêt à consommer
[OK] Connecté à Postgres
[INFO] Début du polling (intervalle 500 ms) — Ctrl+C pour arrêter

  [MSG] partition=0 offset=91112 courier=courier-87 lat=48.85507 lon=2.35132
  [MSG] partition=0 offset=91113 courier=courier-2 lat=48.88078 lon=2.37561
  [MSG] partition=0 offset=91114 courier=courier-9 lat=48.86732 lon=2.33716
  [MSG] partition=0 offset=91115 courier=courier-31 lat=48.90562 lon=2.36692
  [MSG] partition=0 offset=91116 courier=courier-26 lat=48.80865 lon=2.36075
  [MSG] partition=0 offset=91117 courier=courier-36 lat=48.86235 lon=2.38176
  [MSG] partition=0 offset=91118 courier=courier-18 lat=48.87214 lon=2.305
  [MSG] partition=0 offset=91119 courier=courier-13 lat=48.87388 lon=2.31795
  [MSG] partition=0 offset=91120 courier=courier-25 lat=48.89567 lon=2.32281
  [MSG] partition=0 offset=91121 courier=courier-67 lat=48.8175 lon=2.30795
  [MSG] partition=0 offset=91122 courier=courier-83 lat=48.89954 lon=2.38016
  [MSG] partition=0 offset=91123 courier=courier-84 lat=48.88859 lon=2.39518
  [MSG] partition=0 offset=91124 courier=courier-59 lat=48.85014 lon=2.34274
  [MSG] partition=0 offset=91125 courier=courier-69 lat=48.89738 lon=2.40169
  [MSG] partition=0 offset=91126 courier=courier-54 lat=48.89705 lon=2.39374
  [MSG] partition=0 offset=91127 courier=courier-22 lat=48.8518 lon=2.37873
  [MSG] partition=0 offset=91128 courier=courier-6 lat=48.82939 lon=2.37181
  [MSG] partition=0 offset=91129 courier=courier-49 lat=48.83719 lon=2.39221
  [MSG] partition=0 offset=91130 courier=courier-89 lat=48.90631 lon=2.38571
  [MSG] partition=0 offset=91131 courier=courier-21 lat=48.87747 lon=2.40113
  [MSG] partition=0 offset=91132 courier=courier-3 lat=48.85863 lon=2.35237
  [MSG] partition=0 offset=91133 courier=courier-11 lat=48.88685 lon=2.35885
  [MSG] partition=0 offset=91134 courier=courier-96 lat=48.84999 lon=2.30457
  [MSG] partition=0 offset=91135 courier=courier-47 lat=48.83967 lon=2.30862
  [MSG] partition=0 offset=91136 courier=courier-81 lat=48.80832 lon=2.30272
